,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,22.909003289988448,100.94199911173064,22.511,11988.422
1,2,19.16800244317862,118.842357266572,72.487,12591.648
2,3,5.425360815506979,8.973664560142623,64.046,22118.499
3,4,6.152117916082976,11.619755990787802,65.557,13687.309
4,5,7.227640671848459,12.628471949887274,70.158,11782.541
5,6,9.635871508384433,29.51482856475042,67.535,12923.384
6,7,5.497715784013964,10.040968209915066,68.312,11739.999
7,8,7.778553351763369,24.197775868026334,65.893,12928.726
8,9,2.3372596326810746,1.4573478370485846,65.602,11839.94
9,10,7.798178079610647,25.56533246499418,66.247,13546.699
10,11,2.572315900162698,1.6606969819675919,65.019,11768.798
11,12,4.6209334986754955,3.502658255705975,63.728,11677.326
12,13,2.227757029286046,0.8692768349905214,65.556,11784.424
13,14,2.049039547569932,0.8065621329581226,63.139,11811.6
14,15,2.3022877628553493,0.9053755036906672,63.416,11642.748
15,16,2.4492048379084794,0.9646316568731655,64.085,11674.789
16,17,2.515967958101921,0.9944841575862305,66.287,11521.339
17,18,2.548158444344282,1.006687747291142,64.532,11444.042
18,19,2.57524586645553,1.0219866244993019,60.759,11446.421
19,20,2.5984273686931125,1.028067061524754,65.795,11349.982
20,21,2.6251051607769496,1.0376638837439562,62.556,11446.148
21,22,2.665571112544451,1.0603071436127007,68.441,11671.645
22,23,2.6792032484269495,1.0570728469884842,61.623,11806.695
23,24,2.715069325181778,1.0787758607068971,64.03,11682.084
24,25,2.7336030696981695,1.0863791670343739,63.619,11844.053
25,26,2.7488079797851412,1.0927437778475069,64.77,11725.345
26,27,2.774565263602307,1.1109967688754052,69.496,11471.18
27,28,2.783700920089051,1.1149339809920455,69.333,11455.939
28,29,2.7901419808160854,1.1177310504947704,63.941,11305.716
29,30,2.8084124044369556,1.1331185351918478,63.692,11281.326
30,31,2.8119175938605716,1.1346522830426142,66.736,11305.082
31,32,2.8134159543886534,1.1352937479845397,65.149,11383.716
32,33,2.813893698396508,1.135492766095879,65.548,11330.659
33,34,2.817172358743269,1.1369340499915246,68.346,11384.555
34,35,2.831575705086445,1.150893512597119,69.884,11492.495
35,36,2.8311896168587367,1.1507045269108749,70.075,11349.902
36,37,2.831375033397933,1.1507715439700419,64.047,11465.641
37,38,2.8196315977729363,1.1378315431889667,62.292,11241.778
38,39,2.819045153427636,1.1375586089866287,66.203,11377.361
39,40,2.817922412839472,1.1370488438653763,64.591,11454.356
40,41,2.8177021003128093,1.1369444281529437,65.41,11514.066
41,42,2.817446455819253,1.1368249971415862,61.517,11455.682
42,43,2.816916334054662,1.1365841079150765,62.976,11332.451
43,44,2.8169183689390156,1.1365827893208615,62.178,11368.466
44,45,2.8169112435719486,1.1365757740938993,64.984,11442.552
45,46,2.8166481492516295,1.136456871011935,62.889,11380.274
46,47,2.815569778086191,1.1359735029473597,63.45,11396.838
47,48,2.8161254176360773,1.136221051285816,63.917,11413.784
48,49,2.8161517713630984,1.1362316175571687,63.53,11362.786
49,50,2.815890219455123,1.1361139961012727,64.416,11225.568
50,51,2.8156212338133306,1.1359932067609513,70.541,11383.832
51,52,2.8156267532827988,1.1359956692521698,61.551,11198.448
52,53,2.8153622927582065,1.13587704746471,64.079,11384.126
53,54,2.8150940781758473,1.1357568994883336,62.158,11377.413
54,55,2.8150977577578464,1.1357585412490776,68.545,11352.111
55,56,2.8151069566536124,1.1357626457429773,65.298,11320.649
56,57,2.815106036767843,1.1357622352876702,63.981,11354.134
57,58,2.814843266938026,1.1356446657895956,64.39,11390.614
58,59,2.814848786184096,1.1356471286279317,70.037,11225.315
59,60,2.8148524656645533,1.135648770546451,65.732,11300.291
60,61,2.8148552252660126,1.1356500019991458,65.958,11334.089
61,62,3.4056610568378405,1.7485283578258688,70.385,11262.825
62,63,3.2463629912799883,1.5680740208417367,65.623,11589.414
63,64,3.183394490728486,1.4949887103327582,61.263,11548.852
64,65,3.1404896487485994,1.4513704392720836,63.163,11263.113
65,66,3.0961394990509525,1.4081309781778948,67.224,11258.814
66,67,3.0555975601128056,1.3693295403613437,64.851,11341.958
67,68,3.0251787818587124,1.3386409134345638,66.06,11348.216
68,69,3.009037939383476,1.3242527899429442,64.288,11206.57
69,70,2.976367567865373,1.2958528275670818,62.972,11280.956
70,71,2.951368884582074,1.2737805302512284,68.478,11413.68
71,72,2.929032245115641,1.2548944507089246,69.338,11410.741
72,73,2.907260505595289,1.236822477494543,63.592,11328.725
73,74,2.8919792158162343,1.2237195809279622,71.26,11464.598
74,75,2.883295483276777,1.2142009190986272,63.178,11156.42
75,76,2.87771910389133,1.206937152520365,63.342,11211.074
76,77,2.873969031559347,1.201280019054668,61.15,11140.349
77,78,2.8715818075841133,1.1968793455850952,62.008,11089.808
78,79,2.8690454153632166,1.192918549222945,60.945,11199.483
79,80,2.8771214551205757,1.2020941549791453,62.447,11126.796
80,81,2.876322795223671,1.1997027526317703,62.785,11177.401
81,82,2.874189139524777,1.1967811500612586,63.925,11154.412
82,83,4.300755083218757,3.830824970014754,63.929,11121.704
83,84,3.867797514038689,3.044093168557772,62.097,11270.22
84,85,3.4601844832961572,2.553993858506026,69.426,11092.844
85,86,3.3643065652959616,2.3447418986415745,62.526,11208.215
86,87,3.401958484038525,2.2720443496875795,63.38,11207.961
87,88,3.401619601346255,2.201504279013071,63.018,11136.991
88,89,4.062555290381752,4.515490402976696,62.215,11368.841
89,90,3.8662209737545123,3.0236880583958907,61.294,11305.395
90,91,2.4314402820870633,0.8870548643645645,56.243,11335.318
