,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,33.97201791104933,367.70585691633346,18.585,17551.83
1,2,34.777883205509525,346.0065009929242,63.368,21322.282
2,3,19.998316989432215,162.55055801380985,61.391,23835.498
3,4,11.000939208356748,39.00362247448097,65.942,12498.575
4,5,21.3243685936979,163.52908678476115,65.225,23954.064
5,6,18.844195928576923,79.4998124735646,65.188,15545.067
6,7,19.651240248177558,129.35357357152895,65.921,23715.563
7,8,15.416941331658203,58.88542320840457,64.228,15432.453
8,9,16.20916911958806,93.13701637820527,62.707,23603.266
9,10,18.651619262901995,76.22473851312029,61.959,14523.538
10,11,13.281826889090702,50.217791368396355,60.99,24268.005
11,12,13.963066120708953,37.97202715902425,60.678,14567.751
12,13,14.448055591180447,76.44741166340994,62.138,16189.144
13,14,9.617154174085565,31.03266693219811,63.333,14573.021
14,15,8.591902079798059,35.68248618388782,59.155,15675.495
15,16,9.921799348766742,30.259321350410527,62.238,14186.671
16,17,8.219668281415183,30.148786191131236,64.37,15710.794
17,18,9.870007952050162,31.614797817748872,65.041,14101.689
18,19,8.308845218789987,27.939152944908457,62.547,15543.912
19,20,13.524985630380597,47.46613633567019,62.486,14049.577
20,21,8.817196514940981,27.154021679790787,61.438,15711.079
21,22,13.069589873495307,43.879653424055974,58.325,14144.581
22,23,8.737744642495862,26.81429094183778,63.529,15730.159
23,24,13.127878339540162,43.34021482063814,61.275,14183.779
24,25,8.729754477084283,26.21322698579902,65.791,15761.148
25,26,13.150437604280127,43.65989088678514,54.158,14048.712
26,27,8.687187623080947,25.135020475332645,58.698,15686.387
27,28,13.177899044440064,43.7519038074516,57.818,14240.162
28,29,7.817910843758945,22.637764262282783,52.271,15814.001
29,30,13.159437355256578,43.906149062440875,55.816,14155.625
30,31,7.917937704681189,21.73553573217427,57.715,15842.73
31,32,13.26842241446753,44.93244657000061,60.931,14230.328
32,33,7.3141043526759955,19.72509878489081,62.644,15794.3
33,34,13.224575072710346,44.51848990824881,54.928,14098.044
34,35,7.258733915231396,18.880997323403513,78.452,15759.105
35,36,12.962694465111074,42.42223557457002,61.767,14186.385
36,37,7.101943600118609,17.719222753915183,64.846,15841.113
37,38,13.158008800160115,44.06949080341236,60.773,14398.965
38,39,7.135044998429419,15.741685610662692,66.093,13875.479
39,40,6.785633431744145,13.252041416770362,61.893,15927.026
40,41,12.37992235595867,39.92094202689794,55.148,14295.575
41,42,6.180800940464443,11.893399616131283,60.332,13840.574
42,43,6.678799619667539,11.102517959222785,62.77,15755.953
43,44,11.0351387293305,33.681698833882194,63.562,14160.086
44,45,6.019642468120497,10.971015737137584,64.403,13654.461
45,46,6.7295325035018925,10.746600443331932,62.857,15708.07
46,47,10.747014817490825,31.615440904486455,63.038,14037.531
47,48,5.868276399638131,10.308119270709962,61.276,13501.652
48,49,6.73651292491897,10.34377454942941,60.546,15712.897
49,50,10.44095708041284,29.275643421183197,65.784,14083.586
50,51,5.563446020824541,9.680501153975472,61.671,13702.492
51,52,6.419638832761239,9.778885927508728,67.08,15706.363
52,53,6.810728488523239,16.152477151555647,58.775,14034.074
53,54,5.628173959884965,9.439969059289167,66.744,14011.126
54,55,5.171802254077061,17.279033697923584,62.026,17820.097
55,56,11.287320158070791,37.200175224827674,65.728,15130.286
56,57,9.661420007602299,35.342867480975016,64.293,14594.87
57,58,9.12806900654243,32.052633618793344,64.209,23135.812
58,59,4.871324352096638,6.243089005011793,61.357,14720.451
59,60,7.421973215899465,17.848392448224804,60.154,23330.395
60,61,13.513351835541473,41.52239493950123,58.829,15201.316
61,62,9.98589129045819,21.38310301319145,59.857,13904.76
62,63,6.400443728773616,9.894830349639424,60.454,14345.446
63,64,10.158761933601907,31.99613821954506,60.63,15192.826
64,65,4.708340017860024,7.455965674090022,63.071,15263.995
65,66,5.079256631755287,8.665216732367764,59.906,14816.649
66,67,7.433383592403523,24.07861238455845,61.095,23613.565
67,68,11.429652893600444,30.519025715624718,65.274,15000.728
68,69,8.03017472805366,12.458824381131896,58.853,13589.582
69,70,6.628619863732591,18.427306773404535,62.042,14914.7
70,71,11.388665254888016,32.04402173042495,62.191,15094.853
71,72,6.656213399739723,9.553487789201059,64.21,13705.207
72,73,4.122885701892647,4.430528905386171,62.198,17672.569
73,74,11.268039023027136,32.98351289884554,60.751,14064.388
74,75,5.350360469872397,7.4406557276366465,68.946,13666.286
75,76,5.120490446437036,6.763899260934009,62.1,17558.076
76,77,10.859984429663493,30.081587896799146,56.425,14191.309
77,78,5.2719363978544855,7.518646998073461,62.088,13623.756
78,79,5.325507498209335,7.515889440243588,61.86,18324.584
79,80,7.353014770679584,15.769932147604777,62.194,14285.169
80,81,5.574967732821216,8.033699101953589,61.329,14051.144
81,82,5.584484700760719,7.414572140710826,64.907,17685.845
82,83,6.969078161315457,15.444278479496115,63.231,13800.613
83,84,5.803477537743094,8.250318918534525,62.175,13784.39
84,85,5.54524355934962,6.893469147353801,60.522,17646.194
85,86,7.164366084326645,15.44517990500015,69.247,13512.443
86,87,5.6759180278556585,7.958328063657222,65.706,13732.332
87,88,5.362769526728075,6.19563098588203,59.207,17450.693
88,89,7.361586385333252,15.356259945036694,60.391,13746.812
89,90,5.951484835287628,8.168501460970608,61.454,13704.479
90,91,5.06130594373672,5.704118776358038,61.291,17495.094
91,92,7.368667907131201,15.618918067072176,59.774,13646.117
92,93,5.865616696642068,8.001754620004185,63.057,13860.876
93,94,5.00010088822741,5.361259336032464,60.045,17425.965
94,95,7.2783584534737535,15.176921528494297,64.271,13676.588
95,96,5.751754238124615,7.629088365357503,66.23,13700.555
96,97,4.788002991330567,4.692664165181128,61.766,17574.313
97,98,7.727183550715604,15.536876098070064,61.77,13629.039
98,99,5.765363250733158,7.625826417031379,68.926,13807.855
99,100,4.542707310772748,4.273963872815454,61.672,17544.098
100,101,7.640249732391104,14.977816486857726,64.231,13910.117
101,102,5.642995217403504,7.149613549244834,59.373,13621.116
102,103,3.6555895274339076,5.260606935073368,61.705,14824.009
103,104,13.356777918215068,45.06706158816044,61.908,14238.517
104,105,7.516955230955806,10.415458502596547,62.581,14246.298
105,106,3.660006434273445,5.235881395231948,60.12,15659.055
106,107,12.787425309674678,31.38131427254541,55.213,14093.701
107,108,6.160347513573494,7.234471781290888,54.772,14233.49
108,109,3.302315706473116,4.527284016472638,66.56,14361.534
109,110,11.889309123595645,33.73542203880179,59.644,14073.954
110,111,6.505764023470301,7.832363432636718,61.96,14141.401
111,112,3.0432817657580027,3.8382675579238565,62.911,15950.584
112,113,12.052813168075454,27.91744277860052,54.891,14366.995
113,114,2.987090806703666,3.1745611754118146,56.214,14339.911
114,115,11.053531583067361,29.226041600034247,54.29,14067.822
115,116,6.455644197478619,7.738787532950296,53.808,14082.58
116,117,2.6135733145681224,2.9047245260194092,55.599,15637.243
117,118,12.241722093365656,29.338985941783136,54.728,14153.337
118,119,2.551542979229064,2.364954572238016,57.962,14498.513
119,120,8.262631227148962,16.918395835012902,59.279,13648.777
120,121,7.534352396939919,11.639934651679777,53.544,13817.672
121,122,2.151163613234627,1.9652180830700454,54.51,14751.308
122,123,8.261257685404367,16.571088643482817,55.833,13846.854
123,124,7.5181830396940725,11.606586173723176,56.08,13686.721
124,125,2.069639475427997,1.7076800468337545,56.596,14789.243
125,126,8.173243266181782,16.105126207224455,53.607,13719.173
126,127,2.220948536625437,1.5431780786113254,53.109,14397.588
127,128,8.771814723384766,18.397025034193067,53.692,13734.278
128,129,8.26861289299467,13.532816009265206,55.933,13819.882
129,130,1.9079486271854806,1.33936099390727,55.989,14468.906
130,131,8.76284176114562,17.363377216529983,56.358,13668.63
131,132,2.0517304219812718,1.2153877337298449,55.651,14429.677
132,133,8.663876956329178,17.798771043601526,60.427,13639.923
133,134,8.218406695426154,13.329521584679686,56.636,13791.099
134,135,8.262557798282959,13.434149782066843,56.537,13410.767
135,136,6.503537150826137,11.4343425916406,55.862,13736.76
136,137,2.3349319780624667,1.4627182074980876,55.472,14372.589
137,138,8.591976449490112,16.855965780644606,54.837,13713.911
138,139,5.199217534572432,4.752110739288379,53.142,13752.117
139,140,6.738508066971928,9.210846623740528,55.073,13444.975
140,141,4.684320457955449,5.916594504559405,49.688,13805.586
141,142,4.679008601213598,7.022949823050246,49.85,13501.543
142,143,5.393896519307842,6.657824969775846,55.658,13777.143
143,144,2.16150011166234,1.2861192508677621,60.129,14432.595
144,145,6.222721042535856,11.115291483465674,54.688,13621.094
145,146,5.2937712273970305,5.183285179530844,54.091,13734.192
146,147,4.404196901373933,3.671149855529138,53.004,13536.833
147,148,4.753254923117231,6.250035562171419,50.15,13628.117
148,149,2.7835922037202945,1.8869505518837455,50.7,13471.116
149,150,5.430219864896752,7.027920141904639,55.751,13663.516
150,151,3.8024710824911736,3.7095149857290726,53.941,13397.115
151,152,5.373150870468493,10.87211087134668,56.801,13548.456
152,153,4.498739350185568,3.7692041937728367,54.872,13881.153
153,154,3.102098904368204,2.0677987027620386,53.037,13547.445
154,155,5.07041417896427,6.272626528102754,56.554,13694.581
155,156,2.398895891141088,1.5907522963935987,59.866,14470.286
156,157,6.770216139605173,12.031252301598759,53.642,13679.736
157,158,5.2875992747233855,4.934738015080389,58.497,13825.925
158,159,4.072294919243032,3.3213568674914797,55.277,13538.142
159,160,4.440889596770048,5.538285435371601,56.636,13667.58
160,161,2.3386503575056867,1.6385186584518552,56.145,13534.86
161,162,4.406808439979377,5.182782372729698,55.936,13725.985
162,163,2.913588442034765,2.5171450172731866,59.882,13656.51
163,164,5.238604143783798,9.390109172791512,55.455,13809.004
164,165,4.606765228241784,3.998510955337573,56.293,13869.855
165,166,2.9945869295822796,2.383986495411428,55.786,13528.838
166,167,3.688874998616281,4.345719686114717,56.518,13599.947
167,168,2.603134179284349,2.016566533577638,54.91,13413.853
168,169,5.128833943717742,8.779159463751352,52.328,13888.313
169,170,4.472586364827615,3.5275163991072134,53.343,13824.967
170,171,2.986484468443515,2.0306432140450275,55.26,13525.84
171,172,3.546695056618924,3.885318839880926,64.118,13784.066
172,173,2.3756883769570027,1.7535427905349334,53.214,13546.576
173,174,4.984034531279461,8.04454870753776,53.236,13642.128
174,175,2.7735584012028696,2.229814793356003,54.554,14313.767
175,176,6.151018304489396,10.040937597062463,56.427,13690.654
176,177,3.9955293931487885,3.2901793720773345,54.991,13673.279
177,178,4.00832671519736,5.027878765383914,67.056,13872.229
178,179,2.428270410273635,1.7985423229767812,55.008,13810.443
179,180,5.860827514588209,9.164761314208906,56.42,13750.657
180,181,3.7990614670732596,3.264344495885706,52.497,13447.621
181,182,3.9000347194428135,4.751820860873058,56.276,13654.941
182,183,2.2101806459482405,1.629188170643804,54.824,13475.211
183,184,5.405878781409642,8.475439619587831,55.229,13623.537
184,185,3.19154123249699,2.2220201792408707,56.515,13567.074
185,186,3.6617019377632722,4.681015246240966,53.765,13897.617
186,187,2.3637662025555715,0.9748426922365739,54.567,13544.879
187,188,4.002622649410323,4.382946037621793,55.737,13814.287
188,189,1.3413307019496297,0.5041396176675594,53.574,13438.712
189,190,4.937464964848878,7.699048332437464,55.294,13562.474
190,191,3.2736219651739615,2.2417372137909037,62.353,13637.371
191,192,3.26309187223299,4.609075759903343,55.815,13649.72
192,193,1.2266411085313889,0.5016194537757144,54.717,13547.751
193,194,4.556367645473807,7.569234267098038,56.222,13631.809
194,195,3.1883622222544603,2.219151886301205,56.972,13471.628
195,196,3.2318700355777823,4.440001338363049,53.982,13604.505
196,197,1.3403429899627033,0.5121157925547982,56.095,13416.997
197,198,4.4817166810236815,7.171531927934374,55.386,13689.386
198,199,3.2670920699076698,2.235931826327136,53.13,13466.535
199,200,3.1663711436779964,4.205057946671878,56.83,13602.932
